model,subject,condition,mu_r2,beta_r2
cbramod,8,random_31,-0.015291620967374797,-2.5250803486778617
cbramod,9,random_31,-0.34193021567550264,0.44109037531110185
cbramod,11,random_31,-0.32887582124203774,-0.7964402193850801
cbramod,12,random_31,0.01905427731123177,-0.2354834280216207
cbramod,14,random_31,0.1854210864379977,0.03576362339834682
cbramod,15,random_31,-0.2589160902242691,0.11300508717358348
cbramod,16,random_31,0.23746813969163605,-1.551202857994395
cbramod,17,random_31,-1.6194269818221874,0.24767200479834395
cbramod,18,random_31,-1.0615069813695817,0.1322531067551983
cbramod,19,random_31,0.015166864384052237,0.347114998740659
cbramod,21,random_31,0.26738500749441363,0.6947841907643936
cbramod,22,random_31,-0.22991555439502154,0.14747239437063742
cbramod,25,random_31,-0.33755341507024306,-0.2037922066646647
cbramod,26,random_31,0.08478035822294994,0.5202752756162934
cbramod,29,random_31,0.09732977206392601,0.44967891118807457
cbramod,1,random_71,0.23452199435407095,-0.6068210914505676
cbramod,3,random_71,0.14665037394796754,0.5308677235787741
cbramod,6,random_71,-0.33167017480002703,-0.002320599969354742
cbramod,8,random_71,-0.011970808178358716,-2.4689769941546205
cbramod,9,random_71,-0.47756392500632217,0.41577078825681435
cbramod,11,random_71,-0.2896599157040165,-0.7856627169450188
cbramod,12,random_71,0.025652949622704813,-0.22385223134629229
cbramod,14,random_71,0.18554463156252976,0.048659300522901794
cbramod,15,random_71,-0.23848965891630391,0.12653355726646642
cbramod,16,random_71,0.20447532872822305,-1.7183212208621113
cbramod,17,random_71,-1.9404299077814184,0.19135439354200323
cbramod,18,random_71,-1.0523373319874127,0.13484696291411835
cbramod,19,random_71,0.013941110459243511,0.3565572793856794
cbramod,21,random_71,0.2894537085473875,0.6964989622418687
cbramod,22,random_71,-0.2580751857555399,0.1442880741476319
cbramod,25,random_71,-0.25742991860277464,-0.2058475646210869
cbramod,26,random_71,-0.00037453751610372343,0.5432934945552375
cbramod,29,random_71,0.10061625446480238,0.45258484427291024
cbramod,1,random_113,0.2230972800533696,-0.5982189933053772
cbramod,3,random_113,0.15766069407293115,0.5274835620985099
cbramod,6,random_113,-0.3522780226069122,-0.015082468353298406
cbramod,8,random_113,-0.010884826862811448,-2.4663782682469764
cbramod,9,random_113,-0.4810345540520573,0.4161737430881226
cbramod,11,random_113,-0.2935498146788289,-0.7308331714584484
cbramod,12,random_113,0.03683870032597625,-0.22928905730102156
cbramod,14,random_113,0.17655615689119697,0.017689342250197138
cbramod,15,random_113,-0.2804392819570001,0.12639051026390047
cbramod,16,random_113,0.2142364776005563,-1.6322664479396436
cbramod,17,random_113,-1.7158121988404758,0.26072873116665307
cbramod,18,random_113,-1.0161127280970867,0.14030308860290563
cbramod,19,random_113,0.03313828190110679,0.33780832078293377
cbramod,21,random_113,0.2719927699290755,0.6991209895277462
cbramod,22,random_113,-0.21652396010586816,0.16245715143880157
cbramod,25,random_113,-0.34194213465045387,-0.25876342322347545
cbramod,26,random_113,0.0919232239698956,0.5227005002071512
cbramod,29,random_113,0.0912724899063786,0.43602052468228303
labram,1,clean,0.07748564972324656,-0.2957167807554364
labram,3,clean,-0.23725664935472257,0.3894865752085672
labram,6,clean,-0.3560459484749714,0.012825512433906394
labram,8,clean,0.23270250572463247,-0.2629631791753322
labram,9,clean,-0.22946998895767745,0.54955673476505
labram,11,clean,-0.01581944406664415,-0.12294233470909965
labram,12,clean,0.03281722626447503,-0.31840727079008846
labram,14,clean,0.2659432086468313,-0.40333126739300984
labram,15,clean,-0.07298590653287396,0.18184136675458196
labram,16,clean,-0.029612284624511487,-1.2814181721476965
labram,17,clean,-0.5729390164357153,0.01916995142313105
labram,18,clean,-0.5675391421659572,0.06537889433892097
labram,19,clean,0.14033434385632648,0.23010735371270086
labram,21,clean,0.3102835879496846,0.4643756118786876
labram,22,clean,-1.2537942967512148,0.04920704999793912
labram,25,clean,-0.02068817087317565,-0.31881516747755057
labram,26,clean,0.38509400358257506,0.8213707110802182
labram,29,clean,0.05551861640307465,0.41507763951334264
labram,1,frozen_erased,-0.035377168457555674,-0.23221744804932043
labram,3,frozen_erased,-0.9278199444449899,-1.0586113917167048
labram,6,frozen_erased,-1.2659424333971927,-2.1627463402370983
labram,8,frozen_erased,-0.005678586160621002,-0.8152715612509611
labram,9,frozen_erased,-0.003025412692803986,-0.3408765329834984
labram,11,frozen_erased,-0.8031760963711645,-3.358706607381899
labram,12,frozen_erased,-0.0018304364419674535,-1.464435764251045
labram,14,frozen_erased,-0.00025930533789852994,-0.04667513976311444
labram,15,frozen_erased,-1.3852000578987056,-0.35083901142267626
labram,16,frozen_erased,-0.043557971032664344,-0.39273790067991965
labram,17,frozen_erased,-1.4321935028867374,-4.194231323579616
labram,18,frozen_erased,-1.5750155737026312,-0.9567272614405009
labram,19,frozen_erased,-0.6254674159107922,-0.1322174665983955
labram,21,frozen_erased,-0.17473565973631544,-0.4310616418310371
labram,22,frozen_erased,-2.8914780621930785,-1.430494717019402
labram,25,frozen_erased,-0.9760889267632884,-1.1793160384415202
labram,26,frozen_erased,-0.6867735174638208,-0.012420387097850094
labram,29,frozen_erased,-0.49786382926433026,-0.0018557659588172015
labram,1,recovered,-0.02454602181134935,-0.5180184134109678
labram,3,recovered,-0.18550551260626902,0.3206612642098706
labram,6,recovered,-0.6867843986069655,-0.16418494508678472
labram,8,recovered,0.13856058188671505,-0.7610622175849007
labram,9,recovered,-0.7656415146790438,0.20120533994078982
labram,11,recovered,-0.23313323297880983,-0.494424038396557
